season,match_id,match_name,home_team,away_team,venue,city,country,current_innings,innings_id,name,fullName,runs,ballsFaced,minutes,fours,sixes,strikeRate,captain,isNotOut,runningScore,runningOver,shortText,commentary,link
2023,1359483,KKR v RCB,KKR,RCB,"Eden Gardens, Kolkata",Kolkata,India,RCB,2,Shahbaz Ahmed,Shahbaz Ahmed,1,5,6,0,0,20.00,False,False,"{'wickets': 5, 'runs': 61}",8.5,c Thakur b Narine,"<strong>picks deep point!</strong> That was actually well struck, as Shahbaz went reverse sweeping. The fielder in the deep moved a few steps to right to gobble that. Narine went much fuller this time, angling it into the left-hander, as the ball ended on off stump. Shahbaz rolled his wrists and struck nicely, only to unfortunately find the fielder",
2023,1359483,KKR v RCB,KKR,RCB,"Eden Gardens, Kolkata",Kolkata,India,RCB,2,KD Karthik,Dinesh Karthik,9,8,23,1,0,112.50,False,False,"{'wickets': 8, 'runs': 86}",12.5,c Varun b Suyash Sharma,"<strong>another one finds short third!</strong> Suyash strikes again, as the mystery spinners continue to have a roll. This one was full and a bit loopy outside off, inviting the big loft from the batter, with Karthik going for it. The ball took off from the outside edge, and flew to short third's right for a simple take",
2023,1359483,KKR v RCB,KKR,RCB,"Eden Gardens, Kolkata",Kolkata,India,RCB,2,Anuj Rawat,Anuj Rawat,1,5,5,0,0,20.00,False,False,"{'wickets': 7, 'runs': 84}",12.2,c Narine b Suyash Sharma,"<strong>finds short third!</strong> Impact Sub gets his counterpart. Top-edged to the fielder there, as he saw this full delivery tossed up just outside off. It hinted to turn away - as Suyash had good revs on the ball - with Rawat going for the big heave across the line. But he got a top edge, and found the fielder",
2023,1359483,KKR v RCB,KKR,RCB,"Eden Gardens, Kolkata",Kolkata,India,RCB,2,DJ Willey,David Willey,20,20,28,2,0,100.00,False,True,{},,not out,,
2023,1359483,KKR v RCB,KKR,RCB,"Eden Gardens, Kolkata",Kolkata,India,RCB,2,KV Sharma,Karn Sharma,1,3,11,0,0,33.33,False,False,"{'wickets': 9, 'runs': 96}",14.3,c Rana b Suyash Sharma,"An animated appeal by Suyash, and not given. The ball went to the slip fielder after Karn missed his sweep, and <b>KKR review</b>. That was bowled from the back of the hand, on a full length on middle and off. Karn swept but missed, and there looks like no bat involved. Ah, UltraEdge detects a faint bottom edge. But Karn is gone even then, since the ball had carried to slip. So he is given caught, and Suyash has his third",
2023,1359483,KKR v RCB,KKR,RCB,"Eden Gardens, Kolkata",Kolkata,India,RCB,2,Akash Deep,Akash Deep,17,8,14,2,1,212.50,False,False,"{'wickets': 10, 'runs': 123}",17.4,c &amp; b Varun,"<strong>very good catch by Varun!</strong> He ended up where an imaginary midwicket fielder would have been, diving forward to complete the catch. There were two others rushing towards the ball, but Varun kept his eyes on it, not getting distracted by Gurbaz reaching so close to his left. The ball was flirted up right into the clouds, as Deep went heaving at this full ball, only to get a top edge. <b>KKR win by 81 runs</b>",
2023,1359482,RR v PBKS,PBKS,RR,"Barsapara Cricket Stadium, Guwahati",Guwahati,India,PBKS,1,Prabhsimran Singh,Prabhsimran Singh,60,34,49,7,3,176.47,False,False,"{'wickets': 1, 'runs': 90}",9.4,c Buttler b Holder,"<strong>Buttler with a sensational diving catch diving forward after charging in from long-off! </strong> Length ball on the wide guideline, Prabhsimran tries to pull this to the leg side but it comes off the toe and pops up over mid-off. Buttler has 25+ yards to cover but never hesitates and makes it almost to the edge of the circle before launching himself forward and pulling off the catch at ankle height. 10/10 on the judge's scorecards by the panel from Russia, Brazili, New Zealand, Lesotho, Panama and Iceland.",
2023,1359482,RR v PBKS,PBKS,RR,"Barsapara Cricket Stadium, Guwahati",Guwahati,India,PBKS,1,S Dhawan,Shikhar Dhawan,86,56,113,9,3,153.57,True,True,{},,not out,,
2023,1359482,RR v PBKS,PBKS,RR,"Barsapara Cricket Stadium, Guwahati",Guwahati,India,PBKS,1,PBB Rajapaksa,Bhanuka Rajapaksa,1,1,3,0,0,100.00,False,False,"{'wickets': 1, 'runs': 92}",10.1,retired hurt,"<strong>man down! Rajapaksa is nailed at the non-striker's end by a scorching drive from Shikhar. </strong> Full on sixth stump, Shikhar heaves this flat and Rajapaksa can't get out of the way of this as it drills him in the right arm.",
2023,1359482,RR v PBKS,PBKS,RR,"Barsapara Cricket Stadium, Guwahati",Guwahati,India,PBKS,1,JM Sharma,Jitesh Sharma,27,16,31,2,1,168.75,False,False,"{'wickets': 2, 'runs': 158}",15.4,c Parag b Chahal,"low full toss on fifth stump, charges and tries to slap this over long-off but it comes too low off the bat at ankle height and hangs up for an easy catch taken by Riyan Parag 10 yards in from the rope at chest height.",
2023,1359482,RR v PBKS,PBKS,RR,"Barsapara Cricket Stadium, Guwahati",Guwahati,India,PBKS,1,Sikandar Raza,Sikandar Raza,1,2,2,0,0,50.00,False,False,"{'wickets': 3, 'runs': 159}",16.1, b Ashwin,<strong>bullseye!</strong> Good length carrom ball darted in at 96 kph on off stump and skids away past a flat-footed poke to flick the outer half of off stump 3/4 of the way up.,
2023,1359482,RR v PBKS,PBKS,RR,"Barsapara Cricket Stadium, Guwahati",Guwahati,India,PBKS,1,M Shahrukh Khan,M Shahrukh Khan,11,10,23,1,0,110.00,False,False,"{'wickets': 4, 'runs': 196}",19.4,c Buttler b Holder,"full in the slot slanted across eighth stump, Shahrukh goes to drive this over long-on but comes more off the toe. Buttler puts in another brilliant effort charging in from the rope 20 yards. The previous catch he took diving head first. This time he slides feet first to get his body under control and takes a knee height catch in front of his chest. Technically very different from his first approach, but equally flawless.",
2023,1359482,RR v PBKS,PBKS,RR,"Barsapara Cricket Stadium, Guwahati",Guwahati,India,PBKS,1,SM Curran,Sam Curran,1,2,3,0,0,50.00,False,True,{},,not out,,
2023,1359482,RR v PBKS,PBKS,RR,"Barsapara Cricket Stadium, Guwahati",Guwahati,India,RR,2,YBK Jaiswal,Yashasvi Jaiswal,11,8,12,1,1,137.50,False,False,"{'wickets': 1, 'runs': 13}",1.3,c sub (MW Short) b Arshdeep Singh,"fullish length ball on sixth stump, drives loosely to extra cover. Basic catch taken at waist height. Fielder didn't have to move left or right. Matthew Short, on as a sub for Rajapaksa who was injured batting, takes the catch sliding forward on his haunches in front of his chest.",
2023,1359482,RR v PBKS,PBKS,RR,"Barsapara Cricket Stadium, Guwahati",Guwahati,India,RR,2,R Ashwin,Ravichandran Ashwin,0,4,23,0,0,0.00,False,False,"{'wickets': 2, 'runs': 26}",3.2,c S Dhawan b Arshdeep Singh,"<strong>the Ashwin experiment blows up, but not in the way that Rajasthan were hoping.</strong> Length ball on fifth stump, tries to pull this over mid-on but the ball climbs on him and produces a top-edge that floats in the air behind mid-on. Shikhar backpedals 10 yards before taking a catch at chest height.",
2023,1359482,RR v PBKS,PBKS,RR,"Barsapara Cricket Stadium, Guwahati",Guwahati,India,RR,2,JC Buttler,Jos Buttler,19,11,24,1,1,172.72,False,False,"{'wickets': 3, 'runs': 57}",5.4,c &amp; b Ellis,"<strong>somewhat bizarre caught and bowled, but very athletic from Ellis!</strong> Good length ball on fourth stump, goes to drive straight and an inside edge comes off the pads and balloons up over short/silly mid-off. Ellis charges forward to corral a sliding take at knee height.",
2023,1359482,RR v PBKS,PBKS,RR,"Barsapara Cricket Stadium, Guwahati",Guwahati,India,RR,2,SV Samson,Sanju Samson,42,25,39,5,1,168.00,True,False,"{'wickets': 4, 'runs': 91}",10.6,c sub (MW Short) b Ellis,"full on fourth stump, tries to muscle this flat over long-off but picks out Matthew Short five yards inside the ring to take a catch at head height. Aussie tag team produces a wicket.",
2023,1359482,RR v PBKS,PBKS,RR,"Barsapara Cricket Stadium, Guwahati",Guwahati,India,RR,2,D Padikkal,Devdutt Padikkal,21,26,47,1,0,80.76,False,False,"{'wickets': 6, 'runs': 124}",14.6, b Ellis,<strong>bullseye!</strong> Ellis finally puts Padikkal out of his misery. Preity Zinta is up on her feet on the owner's balcony loving this with big applause. Length ball cross seam at full pace skids past a front foot pull and crashes into middle and off stump 3/4 of the way up.,
