season,id,name,short_name,description,home_team,away_team,toss_won,decision,1st_inning_score,2nd_inning_score,home_score,away_score,winner,result,start_date,end_date,venue_id,venue_name,home_captain,away_captain,pom,points,super_over,home_overs,home_runs,home_wickets,home_boundaries,away_overs,away_runs,away_wickets,away_boundaries,highlights,home_key_batsman,home_key_bowler,home_playx1,away_playx1,away_key_batsman,away_key_bowler,match_days,umpire1,umpire2,tv_umpire,referee,reserve_umpire
,1359541,Delhi Capitals v Chennai Super Kings,DC v CSK,"67th Match (D/N), Indian Premier League at Delhi, May 20 2023",DC,CSK,,,,,,,CSK,Starts at 15:30 local time,2023-05-20T10:00Z,2023-05-21T23:59Z,58040,"Arun Jaitley Stadium, Delhi",,,,,,,,,,,,,,,,,,,,,,,,,,
,1359542,Kolkata Knight Riders v Lucknow Super Giants,KKR v LSG,"68th Match (N), Indian Premier League at Kolkata, May 20 2023",KKR,LSG,,,,,,,LSG,Starts at 19:30 local time,2023-05-20T14:00Z,2023-05-21T23:59Z,57980,"Eden Gardens, Kolkata",,,,,,,,,,,,,,,,,,,,,,,,,,
,1359543,Mumbai Indians v Sunrisers Hyderabad,MI v SRH,"69th Match (D/N), Indian Premier League at Mumbai, May 21 2023",MI,SRH,,,,,,,SRH,Starts at 15:30 local time,2023-05-21T10:00Z,2023-05-22T23:59Z,58324,"Wankhede Stadium, Mumbai",,,,,,,,,,,,,,,,,,,,,,,,,,
,1359544,Royal Challengers Bangalore v Gujarat Titans,RCB v GT,"70th Match (N), Indian Premier League at Bengaluru, May 21 2023",RCB,GT,,,,,,,GT,Starts at 19:30 local time,2023-05-21T14:00Z,2023-05-22T23:59Z,57897,"M.Chinnaswamy Stadium, Bengaluru",,,,,,,,,,,,,,,,,,,,,,,,,,
2023,1359482,Rajasthan Royals v Punjab Kings,RR v PBKS,"8th Match (N), Indian Premier League at Guwahati, Apr 5 2023",RR,PBKS,Rajasthan Royals,BOWL FIRST,197/4,192/7,192/7,197/4,PBKS,Punjab Kings won by 5 runs,2023-04-05T14:00Z,2023-04-06T23:59Z,680295,"Barsapara Cricket Stadium, Guwahati",Sanju Samson,Shikhar Dhawan,Nathan Ellis,"Punjab Kings 2, Rajasthan Royals 0",False,20,192,7,23,20,197,4,26,"Dhawan, Ellis and Prabhsimran help Kings survive Impact Sub scare. The Royals youngster Jurel almost won it for them in the end as he went on a boundary-hitting spree with Hetmyer","Sanju Samson,Shimron Hetmyer","Jason Holder,Ravichandran Ashwin","Yashasvi Jaiswal (UKN),Ravichandran Ashwin (AR),Jos Buttler (UKN),Sanju Samson (WK),Devdutt Padikkal (UKN),Riyan Parag (UKN),Shimron Hetmyer (UKN),Dhruv Jurel (UKN),Jason Holder (AR),Trent Boult (BL),KM Asif (BL),Yuzvendra Chahal (BL)","Prabhsimran Singh (UKN),Shikhar Dhawan (UKN),Bhanuka Rajapaksa (UKN),Jitesh Sharma (WK),Sikandar Raza (AR),M Shahrukh Khan (UKN),Sam Curran (AR),Harpreet Brar (BL),Nathan Ellis (BL),Rahul Chahar (BL),Arshdeep Singh (BL),Rishi Dhawan (AR)","Shikhar Dhawan,Prabhsimran Singh","Nathan Ellis,Arshdeep Singh",05 April 2023 - night match (20-over match),KN Ananthapadmanabhan,Saidharshan Kumar,Rohan Pandit,Narayanan Kutty,Abhijit Bhattacharya
2023,1359481,Delhi Capitals v Gujarat Titans,DC v GT,"7th Match (N), Indian Premier League at Delhi, Apr 4 2023",DC,GT,Gujarat Titans,BOWL FIRST,162/8,163/4,162/8,163/4,GT,Titans won by 6 wkts (11b rem),2023-04-04T14:00Z,2023-04-05T23:59Z,58040,"Arun Jaitley Stadium, Delhi",David Warner,Hardik Pandya,Sai Sudharsan,"Gujarat Titans 2, Delhi Capitals 0",False,20,162,8,20,18.1,163,4,20,Sai Sudharsan sees Titans home after their quicks restrict Delhi Capitals. The defending champions have opened their title defence with two consecutive wins,"David Warner,Axar Patel","Anrich Nortje,Mitchell Marsh","David Warner (UKN),Prithvi Shaw (UKN),Mitchell Marsh (AR),Sarfaraz Khan (UKN),Rilee Rossouw (UKN),Abishek Porel (WK),Axar Patel (AR),Aman Hakim Khan (AR),Kuldeep Yadav (BL),Anrich Nortje (BL),Mukesh Kumar (BL),Khaleel Ahmed (BL)","Wriddhiman Saha (WK),Shubman Gill (UKN),Sai Sudharsan (UKN),Hardik Pandya (AR),Vijay Shankar (AR),David Miller (UKN),Rahul Tewatia (AR),Rashid Khan (AR),Alzarri Joseph (BL),Yash Dayal (BL),Mohammed Shami (BL),Josh Little (BL)","Sai Sudharsan,David Miller","Rashid Khan,Mohammed Shami",04 April 2023 - night match (20-over match),Nand Kishore,Sadashiv Iyer,Anil Chaudhary,Daniel Manohar,Madanagopal Kuppuraj
2023,1359480,Chennai Super Kings v Lucknow Super Giants,CSK v LSG,"6th Match (N), Indian Premier League at Chennai, Apr 3 2023",CSK,LSG,Lucknow Super Giants,BOWL FIRST,217/7,205/7,217/7,205/7,CSK,Super Kings won by 12 runs,2023-04-03T14:00Z,2023-04-04T23:59Z,58008,"MA Chidambaram Stadium, Chepauk, Chennai",MS Dhoni,KL Rahul,Moeen Ali,"Chennai Super Kings 2, Lucknow Super Giants 0",False,20,217,7,28,20,205,7,22,à®à¯à®©à¯à®©à¯ à®à¯à®ªà¯à®ªà®¾à®à¯à®à®®à¯à®®à¯ à®¤à¯à®©à®¿à®¯à¯à®®à¯: à®¤à¯à®à®°à¯à®®à¯ à®à®¾à®¤à®²à¯ à®à®¤à¯!. ,"Ruturaj Gaikwad,Devon Conway","Moeen Ali,Tushar Deshpande","Ruturaj Gaikwad (UKN),Devon Conway (UKN),Shivam Dube (AR),Moeen Ali (AR),Ben Stokes (AR),Ambati Rayudu (UKN),Ravindra Jadeja (AR),MS Dhoni (WK),Mitchell Santner (AR),Deepak Chahar (BL),Rajvardhan Hangargekar (AR),Tushar Deshpande (BL)","KL Rahul (UKN),Kyle Mayers (AR),Deepak Hooda (AR),Krunal Pandya (AR),Marcus Stoinis (AR),Nicholas Pooran (WK),Ayush Badoni (UKN),Krishnappa Gowtham (AR),Mark Wood (BL),Yash Thakur (BL),Ravi Bishnoi (BL),Avesh Khan (BL)","Kyle Mayers,Nicholas Pooran","Ravi Bishnoi,Mark Wood",03 April 2023 - night match (20-over match),Bruce Oxenford,Akshay Totre,Ulhas Gandhe,Manu Nayyar,Pranav Joshi
2023,1359479,Royal Challengers Bangalore v Mumbai Indians,RCB v MI,"5th Match (N), Indian Premier League at Bengaluru, Apr 2 2023",RCB,MI,Royal Challengers Bangalore,BOWL FIRST,171/7,172/2,172/2,171/7,RCB,RCB won by 8 wkts (22b rem),2023-04-02T14:00Z,2023-04-03T23:59Z,57897,"M.Chinnaswamy Stadium, Bengaluru",Faf du Plessis,Rohit Sharma,Faf du Plessis,"Royal Challengers Bangalore 2, Mumbai Indians 0",False,16.2,172,2,24,20,171,7,22,"Virat Kohli, Faf du Plessis help RCB brush aside Mumbai Indians. Tilak Varma's unbeaten 84 was the only positive for Mumbai as RCB romped home with 22 balls to spare","Virat Kohli,Faf du Plessis","Karn Sharma,Reece Topley","Virat Kohli (UKN),Faf du Plessis (UKN),Dinesh Karthik (WK),Glenn Maxwell (AR),Michael Bracewell (AR),Shahbaz Ahmed (AR),Harshal Patel (BL),Akash Deep (AR),Reece Topley (BL),Mohammed Siraj (BL),Karn Sharma (BL)","Rohit Sharma (UKN),Ishan Kishan (WK),Cameron Green (AR),Suryakumar Yadav (UKN),Tilak Varma (AR),Nehal Wadhera (UKN),Tim David (UKN),Hrithik Shokeen (BL),Arshad Khan (BL),Piyush Chawla (AR),Jofra Archer (BL),Jason Behrendorff (BL)","Tilak Varma,Nehal Wadhera","Arshad Khan,Cameron Green",02 April 2023 - night match (20-over match),Nitin Menon,Tapan Sharma,Virender Sharma,Javagal Srinath,Abhijit Bengeri
2023,1359478,Sunrisers Hyderabad v Rajasthan Royals,SRH v RR,"4th Match (D/N), Indian Premier League at Hyderabad, Apr 2 2023",SRH,RR,Sunrisers Hyderabad,BOWL FIRST,203/5,131/8,131/8,203/5,RR,Royals won by 72 runs,2023-04-02T10:00Z,2023-04-03T23:59Z,58142,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Bhuvneshwar Kumar,Sanju Samson,Jos Buttler,"Rajasthan Royals 2, Sunrisers Hyderabad 0",False,20,131,8,13,20,203,5,29,"à®à®à®¤à¯à®¤à®¿à®¯ à®ªà®à¯à®²à®°à¯, à®à®¹à®¾à®²à¯: à®ªà®à¯à®¤à¯à®²à¯à®µà®¿ à®à®£à¯à® à®à®©à¯à®°à¯à®à®°à¯à®¸à¯!. ","Abdul Samad,Mayank Agarwal","T Natarajan,Fazalhaq Farooqi","Abhishek Sharma (AR),Mayank Agarwal (UKN),Rahul Tripathi (UKN),Harry Brook (UKN),Washington Sundar (AR),Glenn Phillips (WK),Abdul Samad (UKN),Adil Rashid (BL),Bhuvneshwar Kumar (BL),Umran Malik (BL),T Natarajan (BL),Fazalhaq Farooqi (BL)","Yashasvi Jaiswal (UKN),Jos Buttler (UKN),Sanju Samson (WK),Devdutt Padikkal (UKN),Riyan Parag (UKN),Shimron Hetmyer (UKN),Ravichandran Ashwin (AR),Jason Holder (AR),Trent Boult (BL),KM Asif (BL),Yuzvendra Chahal (BL),Navdeep Saini (BL)","Sanju Samson,Yashasvi Jaiswal","Yuzvendra Chahal,Trent Boult",02 April 2023 - day/night match (20-over match),KN Ananthapadmanabhan,Rohan Pandit,Navdeep Singh,Narayanan Kutty,Abhijit Bhattacharya
2023,1359477,Lucknow Super Giants v Delhi Capitals,LSG v DC,"3rd Match (N), Indian Premier League at Lucknow, Apr 1 2023",LSG,DC,Delhi Capitals,BOWL FIRST,193/6,143/9,193/6,143/9,LSG,Super Giants won by 50 runs,2023-04-01T14:00Z,2023-04-02T23:59Z,1070094,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",KL Rahul,David Warner,Mark Wood,"Lucknow Super Giants 2, Delhi Capitals 0",False,20,193,6,21,20,143,9,17,"Wood five-for, Mayers 73 stud Super Giants' win. Capitals struggled against Super Giants' bowlers in the 194 chase on a challenging pitch","Kyle Mayers,Nicholas Pooran","Mark Wood,Avesh Khan","KL Rahul (UKN),Kyle Mayers (AR),Deepak Hooda (AR),Krunal Pandya (AR),Marcus Stoinis (AR),Nicholas Pooran (WK),Ayush Badoni (UKN),Krishnappa Gowtham (AR),Avesh Khan (BL),Ravi Bishnoi (BL),Jaydev Unadkat (BL),Mark Wood (BL)","Prithvi Shaw (UKN),David Warner (UKN),Mitchell Marsh (AR),Sarfaraz Khan (WK),Rilee Rossouw (UKN),Rovman Powell (UKN),Aman Hakim Khan (AR),Axar Patel (AR),Kuldeep Yadav (BL),Chetan Sakariya (BL),Mukesh Kumar (BL),Khaleel Ahmed (BL)","David Warner,Rilee Rossouw","Khaleel Ahmed,Chetan Sakariya",01 April 2023 - night match (20-over match),Anil Chaudhary,Nikhil Patwardhan,Sadashiv Iyer,Daniel Manohar,Madanagopal Kuppuraj
2023,1359476,Punjab Kings v Kolkata Knight Riders,PBKS v KKR,"2nd Match (D/N), Indian Premier League at Chandigarh, Apr 1 2023",PBKS,KKR,Kolkata Knight Riders,BOWL FIRST,191/5,146/7,191/5,146/7,PBKS,Punjab Kings won by 7 runs (DLS),2023-04-01T10:00Z,2023-04-02T23:59Z,57991,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Shikhar Dhawan,Nitish Rana,Arshdeep Singh,"Punjab Kings 2, Kolkata Knight Riders 0",False,20,191,5,26,16,146,7,20,"Arshdeep, Rajapaksa lead Punjab Kings to victory in rain-hit game. Knight Riders, behind for most parts of the game, almost got to the DLS target thanks to Andre Russell and Venkatesh Iyer","Bhanuka Rajapaksa,Shikhar Dhawan","Arshdeep Singh,Rahul Chahar","Prabhsimran Singh (UKN),Shikhar Dhawan (UKN),Bhanuka Rajapaksa (UKN),Jitesh Sharma (WK),Sikandar Raza (AR),Sam Curran (AR),M Shahrukh Khan (UKN),Harpreet Brar (BL),Rahul Chahar (BL),Arshdeep Singh (BL),Nathan Ellis (BL),Rishi Dhawan (AR)","Mandeep Singh (AR),Rahmanullah Gurbaz (WK),Anukul Roy (AR),Venkatesh Iyer (AR),Nitish Rana (UKN),Rinku Singh (UKN),Andre Russell (AR),Shardul Thakur (BL),Sunil Narine (AR),Tim Southee (BL),Umesh Yadav (BL),Varun Chakravarthy (BL)","Andre Russell,Venkatesh Iyer","Tim Southee,Varun Chakravarthy",01 April 2023 - day/night match (20-over match),Yeshwant Barde,Bruce Oxenford,Jayaraman Madanagopal,Manu Nayyar,Pranav Joshi
2023,1359475,Gujarat Titans v Chennai Super Kings,GT v CSK,"1st Match (N), Indian Premier League at Ahmedabad, Mar 31 2023",GT,CSK,Gujarat Titans,BOWL FIRST,178/7,182/5,182/5,178/7,GT,Titans won by 5 wkts (4b rem),2023-03-31T14:00Z,2023-04-01T23:59Z,57851,"Narendra Modi Stadium, Motera, Ahmedabad",Hardik Pandya,MS Dhoni,Rashid Khan,"Gujarat Titans 2, Chennai Super Kings 0",False,19.2,182,5,23,20,178,7,23,"Gill, Rashid lead defending champions Gujarat Titans to victory in IPL 2023 opener. Ruturaj Gaikwad scored 92 but Chennai Super Kings managed only 178 in Ahmedabad","Shubman Gill,Vijay Shankar","Rashid Khan,Mohammed Shami","Wriddhiman Saha (WK),Shubman Gill (UKN),Sai Sudharsan (UKN),Hardik Pandya (AR),Vijay Shankar (AR),Rahul Tewatia (AR),Rashid Khan (AR),Mohammed Shami (BL),Josh Little (BL),Yash Dayal (BL),Alzarri Joseph (BL),Kane Williamson (UKN)","Devon Conway (UKN),Ruturaj Gaikwad (UKN),Moeen Ali (AR),Ben Stokes (AR),Ambati Rayudu (UKN),Shivam Dube (AR),Ravindra Jadeja (AR),MS Dhoni (WK),Mitchell Santner (AR),Deepak Chahar (BL),Rajvardhan Hangargekar (AR),Tushar Deshpande (BL)","Ruturaj Gaikwad,Moeen Ali","Rajvardhan Hangargekar,Ravindra Jadeja",31 March 2023 - night match (20-over match),Saiyed Khalid,Nitin Menon,Virender Sharma,Javagal Srinath,Abhijit Bengeri
