comment_id,match_id,match_name,home_team,away_team,current_innings,innings_id,over,ball,runs,shortText,isBoundary,isWide,isNoball,batsman1_id,batsman1_name,batsman1_runs,batsman1_balls,bowler1_id,bowler1_name,bowler1_overs,bowler1_maidens,bowler1_runs,bowler1_wkts,batsman2_id,batsman2_name,batsman2_runs,batsman2_balls,bowler2_id,bowler2_name,bowler2_overs,bowler2_maidens,bowler2_runs,bowler2_wkts,wicket_id,wkt_batsman_name,wkt_bowler_name,wkt_batsman_runs,wkt_batsman_balls,wkt_text,isRetiredHurt,text,preText,postText
11040,1359483,KKR v RCB,KKR,RCB,KKR,1,2,4,1,"Willey to Rahmanullah Gurbaz, 1 run",False,False,False,974087,Rahmanullah Gurbaz,5,8,308251,David Willey,0.4,0,2,0,851403,Venkatesh Iyer,1,2,940973.0,Mohammed Siraj,1.0,0.0,9.0,0.0,,,,,,,False,"good field placement. Gurbaz jumps out of the crease, flicks on the leg side, deliberately in the air. However, RCB have a deep square leg to keep them down to one. That is good scouting",,
11050,1359483,KKR v RCB,KKR,RCB,KKR,1,2,5,1,"Willey to Iyer, 1 run",False,False,False,851403,Venkatesh Iyer,2,3,308251,David Willey,0.5,0,3,0,974087,Rahmanullah Gurbaz,5,8,940973.0,Mohammed Siraj,1.0,0.0,9.0,0.0,,,,,,,False,"pushes at a length ball, gets a thick outside edge past point for one",,
11060,1359483,KKR v RCB,KKR,RCB,KKR,1,2,6,0,"Willey to Rahmanullah Gurbaz, no run",False,False,False,974087,Rahmanullah Gurbaz,5,9,308251,David Willey,1.0,0,3,0,851403,Venkatesh Iyer,2,3,940973.0,Mohammed Siraj,1.0,0.0,9.0,0.0,,,,,,,False,"some shape there. Hits the pad, but has started too straight and is missing leg",,
12010,1359483,KKR v RCB,KKR,RCB,KKR,1,3,1,0,"Mohammed Siraj to Iyer, no run",False,False,False,851403,Venkatesh Iyer,2,4,940973,Mohammed Siraj,1.1,0,9,0,974087,Rahmanullah Gurbaz,5,9,308251.0,David Willey,1.0,0.0,3.0,0.0,,,,,,,False,"on a length, middle and off, defended",<p>Over the wicket to the left-hand batter</p>,
12020,1359483,KKR v RCB,KKR,RCB,KKR,1,3,2,1,"Mohammed Siraj to Iyer, 1 run",False,False,False,851403,Venkatesh Iyer,3,5,940973,Mohammed Siraj,1.2,0,10,0,974087,Rahmanullah Gurbaz,5,9,308251.0,David Willey,1.0,0.0,3.0,0.0,,,,,,,False,"this one is pitched outside leg, and is punched wide of mid-on for one",,
12030,1359483,KKR v RCB,KKR,RCB,KKR,1,3,3,4,"Mohammed Siraj to Rahmanullah Gurbaz, FOUR",True,False,False,974087,Rahmanullah Gurbaz,9,10,940973,Mohammed Siraj,1.3,0,14,0,851403,Venkatesh Iyer,3,5,308251.0,David Willey,1.0,0.0,3.0,0.0,,,,,,,False,"short, wide, with no deep fielder on the off side. Gurbaz slashes at it, doesn't bother to keep it down, and gets four for it",,
12040,1359483,KKR v RCB,KKR,RCB,KKR,1,3,4,4,"Mohammed Siraj to Rahmanullah Gurbaz, 4 byes",False,False,False,974087,Rahmanullah Gurbaz,9,11,940973,Mohammed Siraj,1.4,0,14,0,851403,Venkatesh Iyer,3,5,308251.0,David Willey,1.0,0.0,3.0,0.0,,,,,,,False,"<strong>cuts him in two</strong>. Beats the diving Karthik too. This is the wobble-seam delivery that jags back in after pitching short of a length. Beats the inside edge, goes over the stumps, and keeps going",,
12050,1359483,KKR v RCB,KKR,RCB,KKR,1,3,5,4,"Mohammed Siraj to Rahmanullah Gurbaz, FOUR",True,False,False,974087,Rahmanullah Gurbaz,13,12,940973,Mohammed Siraj,1.5,0,18,0,851403,Venkatesh Iyer,3,5,308251.0,David Willey,1.0,0.0,3.0,0.0,,,,,,,False,"this is poor bowling. His two deep fielders are on the leg side, and he is bowling wide. All Gurbaz has to do is steer it past short third",,
12070,1359483,KKR v RCB,KKR,RCB,KKR,1,3,6,0,"Mohammed Siraj to Rahmanullah Gurbaz, no run",False,False,False,974087,Rahmanullah Gurbaz,13,13,940973,Mohammed Siraj,2.0,0,19,0,851403,Venkatesh Iyer,3,5,308251.0,David Willey,1.0,0.0,3.0,0.0,,,,,,,False,"looks like a slower ball, Gurbaz defends the length ball off the front foot",,
12060,1359483,KKR v RCB,KKR,RCB,KKR,1,3,6,1,"Mohammed Siraj to Rahmanullah Gurbaz, 1 wide",False,True,False,974087,Rahmanullah Gurbaz,13,12,940973,Mohammed Siraj,1.5,0,19,0,851403,Venkatesh Iyer,3,5,308251.0,David Willey,1.0,0.0,3.0,0.0,,,,,,,False,"aggression from Siraj. A proper bouncer. Called a wide. Siraj wants a review, but du Plessis says no",,
13010,1359483,KKR v RCB,KKR,RCB,KKR,1,4,1,0,"Willey to Iyer, no run",False,False,False,851403,Venkatesh Iyer,3,6,308251,David Willey,1.1,0,3,0,974087,Rahmanullah Gurbaz,13,13,940973.0,Mohammed Siraj,2.0,0.0,19.0,0.0,,,,,,,False,"on a length, around off, Iyer punches it off the back foot to mid-on",,
13020,1359483,KKR v RCB,KKR,RCB,KKR,1,4,2,0,"Willey to Iyer, OUT",False,False,False,851403,Venkatesh Iyer,3,7,308251,David Willey,1.2,0,3,1,974087,Rahmanullah Gurbaz,13,13,940973.0,Mohammed Siraj,2.0,0.0,19.0,0.0,851403.0,Venkatesh Iyer,David Willey,3.0,7.0,VR Iyer  b Willey 3 (18m 7b 0x4 0x6) SR: 42.85,False,"timber. This has jagged back in to hit the middle stump. He has missed this by a long way. Willey stays on a length, just outside off, Iyer likes to play off the back foot, and tries to muscle it through the off side. The seam movement beats him by six inches at least",,
13030,1359483,KKR v RCB,KKR,RCB,KKR,1,4,3,0,"Willey to Mandeep Singh, OUT",False,False,False,398506,Mandeep Singh,0,1,308251,David Willey,1.3,0,3,2,974087,Rahmanullah Gurbaz,13,13,940973.0,Mohammed Siraj,2.0,0.0,19.0,0.0,398506.0,Mandeep Singh,David Willey,0.0,1.0,Mandeep Singh  b Willey 0 (2m 1b 0x4 0x6) SR: 0.00,False,"and he is already the old batter. How has that hit the off stump? Left-arm quick, hitting the off stump of a right-hand batter usually happens when the ball is swinging back in or if the batter is going hammer and tongs. This one, though, is a wobble-seam delivery that lands on middle and off, seams away to beat Mandeep's defensive prod, and still manages to clip the off stump. Mandeep is squared up","<p>Mandeep Singh, former RCB, is the new batter in</p>",
13040,1359483,KKR v RCB,KKR,RCB,KKR,1,4,4,0,"Willey to Rana, no run",False,False,False,604527,Nitish Rana,0,1,308251,David Willey,1.4,0,3,2,974087,Rahmanullah Gurbaz,13,13,940973.0,Mohammed Siraj,2.0,0.0,19.0,0.0,,,,,,,False,"length ball, at the stumps, played towards that short midwicket, but with soft hands",<p>Nitish Rana to face the hat-trick ball. A slip and a short midwicket</p>,
13050,1359483,KKR v RCB,KKR,RCB,KKR,1,4,5,0,"Willey to Rana, no run",False,False,False,604527,Nitish Rana,0,2,308251,David Willey,1.5,0,3,2,974087,Rahmanullah Gurbaz,13,13,940973.0,Mohammed Siraj,2.0,0.0,19.0,0.0,,,,,,,False,"this one swings away, and is left alone",,
13060,1359483,KKR v RCB,KKR,RCB,KKR,1,4,6,0,"Willey to Rana, no run",False,False,False,604527,Nitish Rana,0,3,308251,David Willey,2.0,1,3,2,974087,Rahmanullah Gurbaz,13,13,940973.0,Mohammed Siraj,2.0,0.0,19.0,0.0,,,,,,,False,defends a length ball. <strong>That is a double-wicket maiden</strong>,<p>Two wobble-seam deliveries this over. Both have pitched and seamed from right to left. Both have hit the timber</p>,
14010,1359483,KKR v RCB,KKR,RCB,KKR,1,5,1,0,"Akash Deep to Rahmanullah Gurbaz, no run",False,False,False,974087,Rahmanullah Gurbaz,13,14,1176959,Akash Deep,0.1,0,0,0,604527,Nitish Rana,0,3,308251.0,David Willey,2.0,1.0,3.0,2.0,,,,,,,False,gets away with a short and wide delivery. Kohli makes a good one-handed save at short point,<p>Akash Deep is the new bowler</p>,
14030,1359483,KKR v RCB,KKR,RCB,KKR,1,5,2,2,"Akash Deep to Rahmanullah Gurbaz, 2 runs",False,False,False,974087,Rahmanullah Gurbaz,21,16,1176959,Akash Deep,0.2,0,9,0,604527,Nitish Rana,0,3,308251.0,David Willey,2.0,1.0,3.0,2.0,,,,,,,False,does well to not give him room and stays full enough to not let him get under. Gurbaz whips it to deep midwicket for two,<p>Free hit coming up</p>,
14020,1359483,KKR v RCB,KKR,RCB,KKR,1,5,2,7,"Akash Deep to Rahmanullah Gurbaz, (no ball) SIX",True,False,True,974087,Rahmanullah Gurbaz,19,15,1176959,Akash Deep,0.1,0,7,0,604527,Nitish Rana,0,3,308251.0,David Willey,2.0,1.0,3.0,2.0,,,,,,,False,"gets inside the line of a short ball, and pulls it fine for a flat six. Uses all the pace of Akash Deep. <b>Also a no-ball</b>",,
14040,1359483,KKR v RCB,KKR,RCB,KKR,1,5,3,0,"Akash Deep to Rahmanullah Gurbaz, no run",False,False,False,974087,Rahmanullah Gurbaz,21,17,1176959,Akash Deep,0.3,0,9,0,604527,Nitish Rana,0,3,308251.0,David Willey,2.0,1.0,3.0,2.0,,,,,,,False,"on a length, at the stumps, punched to mid-on",,
