season,match_id,match_name,home_team,away_team,bowling_team,venue,city,country,innings_id,name,fullName,overs,maidens,conceded,wickets,economyRate,dots,foursConceded,sixesConceded,wides,noballs,captain,href
2023,1359481,DC v GT,DC,GT,GT,"Arun Jaitley Stadium, Delhi",Delhi,India,1,JB Little,Josh Little,4,0,27,0,6.75,11,2,1,0,0,False,https://www.espncricinfo.com/ci/content/player/928067.html
2023,1359481,DC v GT,DC,GT,GT,"Arun Jaitley Stadium, Delhi",Delhi,India,1,HH Pandya,Hardik Pandya,3,0,18,0,6.00,6,2,0,0,0,True,https://www.espncricinfo.com/ci/content/player/625371.html
2023,1359481,DC v GT,DC,GT,GT,"Arun Jaitley Stadium, Delhi",Delhi,India,1,AS Joseph,Alzarri Joseph,4,0,29,2,7.25,13,3,1,1,0,False,https://www.espncricinfo.com/ci/content/player/670031.html
2023,1359481,DC v GT,DC,GT,GT,"Arun Jaitley Stadium, Delhi",Delhi,India,1,Yash Dayal,Yash Dayal,1,0,12,0,12.00,0,0,1,0,0,False,https://www.espncricinfo.com/ci/content/player/1159720.html
2023,1359481,DC v GT,DC,GT,GT,"Arun Jaitley Stadium, Delhi",Delhi,India,1,Rashid Khan,Rashid Khan,4,0,31,3,7.75,9,2,2,0,0,False,https://www.espncricinfo.com/ci/content/player/793463.html
2023,1359481,DC v GT,DC,GT,DC,"Arun Jaitley Stadium, Delhi",Delhi,India,2,KK Ahmed,Khaleel Ahmed,4,0,38,1,9.50,9,5,1,1,0,False,https://www.espncricinfo.com/ci/content/player/942645.html
2023,1359481,DC v GT,DC,GT,DC,"Arun Jaitley Stadium, Delhi",Delhi,India,2,Mukesh Kumar,Mukesh Kumar,4,0,42,0,10.50,8,5,2,1,0,False,https://www.espncricinfo.com/ci/content/player/926851.html
2023,1359481,DC v GT,DC,GT,DC,"Arun Jaitley Stadium, Delhi",Delhi,India,2,A Nortje,Anrich Nortje,4,0,39,2,9.75,9,3,2,0,2,False,https://www.espncricinfo.com/ci/content/player/481979.html
2023,1359481,DC v GT,DC,GT,DC,"Arun Jaitley Stadium, Delhi",Delhi,India,2,MR Marsh,Mitchell Marsh,3.1,0,24,1,7.57,4,1,0,1,0,False,https://www.espncricinfo.com/ci/content/player/272450.html
2023,1359481,DC v GT,DC,GT,DC,"Arun Jaitley Stadium, Delhi",Delhi,India,2,Kuldeep Yadav,Kuldeep Yadav,3,0,18,0,6.00,5,1,0,1,0,False,https://www.espncricinfo.com/ci/content/player/559235.html
2023,1359480,CSK v LSG,CSK,LSG,LSG,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,1,KR Mayers,Kyle Mayers,2,0,16,0,8.00,1,1,0,1,0,False,https://www.espncricinfo.com/ci/content/player/348056.html
2023,1359480,CSK v LSG,CSK,LSG,LSG,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,1,Avesh Khan,Avesh Khan,3,0,39,1,13.00,4,6,0,1,0,False,https://www.espncricinfo.com/ci/content/player/694211.html
2023,1359480,CSK v LSG,CSK,LSG,LSG,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,1,KH Pandya,Krunal Pandya,2,0,21,0,10.50,4,1,2,0,0,False,https://www.espncricinfo.com/ci/content/player/471342.html
2023,1359480,CSK v LSG,CSK,LSG,LSG,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,1,K Gowtham,Krishnappa Gowtham,1,0,20,0,20.00,2,0,3,0,0,False,https://www.espncricinfo.com/ci/content/player/424377.html
2023,1359480,CSK v LSG,CSK,LSG,LSG,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,1,MA Wood,Mark Wood,4,0,49,3,12.25,9,3,5,0,0,False,https://www.espncricinfo.com/ci/content/player/351588.html
2023,1359480,CSK v LSG,CSK,LSG,LSG,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,1,Yash Thakur,Yash Thakur,4,0,36,0,9.00,4,3,1,0,1,False,https://www.espncricinfo.com/ci/content/player/1070196.html
2023,1359480,CSK v LSG,CSK,LSG,LSG,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,1,Ravi Bishnoi,Ravi Bishnoi,4,0,28,3,7.00,13,1,2,1,0,False,https://www.espncricinfo.com/ci/content/player/1175441.html
2023,1359480,CSK v LSG,CSK,LSG,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,2,DL Chahar,Deepak Chahar,4,0,55,0,13.75,6,7,1,5,0,False,https://www.espncricinfo.com/ci/content/player/447261.html
2023,1359480,CSK v LSG,CSK,LSG,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,2,BA Stokes,Ben Stokes,1,0,18,0,18.00,0,2,1,0,0,False,https://www.espncricinfo.com/ci/content/player/311158.html
2023,1359480,CSK v LSG,CSK,LSG,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,2,TU Deshpande,Tushar Deshpande,4,0,45,2,11.25,7,2,2,4,3,False,https://www.espncricinfo.com/ci/content/player/822553.html
2023,1359480,CSK v LSG,CSK,LSG,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,2,MM Ali,Moeen Ali,4,0,26,4,6.50,10,0,1,1,0,False,https://www.espncricinfo.com/ci/content/player/8917.html
